Expt,Well,Subline,Time_h,Cell.count,Condition,FUCCI.cells,UID
X20120612,E02,DS1,50.24999999,190,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,51.25499999,189,Erlotinib,1,DS1_X20120612_E02
X20120612,E02,DS1,52.25999999,190,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,53.26499999,188,Erlotinib,1,DS1_X20120612_E02
X20120612,E02,DS1,54.26999999,191,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,55.27499999,190,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,56.27999999,186,Erlotinib,1,DS1_X20120612_E02
X20120612,E02,DS1,57.28499999,188,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,58.28999999,181,Erlotinib,1,DS1_X20120612_E02
X20120612,E02,DS1,59.29499999,186,Erlotinib,1,DS1_X20120612_E02
X20120612,E02,DS1,60.29999999,186,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,61.30499999,181,Erlotinib,1,DS1_X20120612_E02
X20120612,E02,DS1,62.30999999,175,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,63.31499999,176,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,64.31999999,182,Erlotinib,3,DS1_X20120612_E02
X20120612,E02,DS1,65.32499999,180,Erlotinib,1,DS1_X20120612_E02
X20120612,E02,DS1,66.32999999,178,Erlotinib,1,DS1_X20120612_E02
X20120612,E02,DS1,67.33499999,179,Erlotinib,0,DS1_X20120612_E02
X20120612,E02,DS1,68.33999999,176,Erlotinib,0,DS1_X20120612_E02
X20120612,E02,DS1,69.34499999,173,Erlotinib,0,DS1_X20120612_E02
X20120612,E02,DS1,70.34999999,168,Erlotinib,0,DS1_X20120612_E02
X20120612,E02,DS1,71.35499999,163,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,72.35999999,174,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,73.36499999,182,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,74.36999999,175,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,75.37499999,185,Erlotinib,1,DS1_X20120612_E02
X20120612,E02,DS1,76.37999999,176,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,77.38499999,186,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,78.38999999,180,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,79.39499999,185,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,80.39999999,184,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,81.40499999,183,Erlotinib,6,DS1_X20120612_E02
X20120612,E02,DS1,82.40999999,180,Erlotinib,6,DS1_X20120612_E02
X20120612,E02,DS1,83.41499999,182,Erlotinib,6,DS1_X20120612_E02
X20120612,E02,DS1,84.41999999,187,Erlotinib,6,DS1_X20120612_E02
X20120612,E02,DS1,85.42499999,182,Erlotinib,5,DS1_X20120612_E02
X20120612,E02,DS1,86.42999999,182,Erlotinib,5,DS1_X20120612_E02
X20120612,E02,DS1,87.43499999,176,Erlotinib,5,DS1_X20120612_E02
X20120612,E02,DS1,88.43999999,164,Erlotinib,4,DS1_X20120612_E02
X20120612,E02,DS1,89.44499999,162,Erlotinib,6,DS1_X20120612_E02
X20120612,E02,DS1,90.44999999,167,Erlotinib,6,DS1_X20120612_E02
X20120612,E02,DS1,91.45499999,163,Erlotinib,5,DS1_X20120612_E02
X20120612,E02,DS1,92.45999999,160,Erlotinib,3,DS1_X20120612_E02
X20120612,E02,DS1,93.46499999,162,Erlotinib,3,DS1_X20120612_E02
X20120612,E02,DS1,94.46999999,145,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,95.47499999,152,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,96.47999999,152,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,97.48499999,157,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,98.48999999,158,Erlotinib,5,DS1_X20120612_E02
X20120612,E02,DS1,99.49499999,158,Erlotinib,4,DS1_X20120612_E02
X20120612,E02,DS1,100.5,157,Erlotinib,3,DS1_X20120612_E02
X20120612,E02,DS1,101.505,153,Erlotinib,4,DS1_X20120612_E02
X20120612,E02,DS1,102.51,160,Erlotinib,3,DS1_X20120612_E02
X20120612,E02,DS1,103.515,155,Erlotinib,3,DS1_X20120612_E02
X20120612,E02,DS1,104.52,150,Erlotinib,5,DS1_X20120612_E02
X20120612,E02,DS1,105.525,152,Erlotinib,6,DS1_X20120612_E02
X20120612,E02,DS1,106.53,145,Erlotinib,7,DS1_X20120612_E02
X20120612,E02,DS1,107.535,145,Erlotinib,7,DS1_X20120612_E02
X20120612,E02,DS1,108.54,146,Erlotinib,4,DS1_X20120612_E02
X20120612,E02,DS1,109.545,141,Erlotinib,4,DS1_X20120612_E02
X20120612,E02,DS1,110.55,142,Erlotinib,9,DS1_X20120612_E02
X20120612,E02,DS1,111.555,141,Erlotinib,6,DS1_X20120612_E02
X20120612,E02,DS1,112.56,139,Erlotinib,3,DS1_X20120612_E02
X20120612,E02,DS1,113.565,138,Erlotinib,4,DS1_X20120612_E02
X20120612,E02,DS1,114.57,131,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,115.575,142,Erlotinib,3,DS1_X20120612_E02
X20120612,E02,DS1,116.58,140,Erlotinib,7,DS1_X20120612_E02
X20120612,E02,DS1,117.585,130,Erlotinib,1,DS1_X20120612_E02
X20120612,E02,DS1,118.59,138,Erlotinib,4,DS1_X20120612_E02
X20120612,E02,DS1,119.595,133,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,120.6,135,Erlotinib,1,DS1_X20120612_E02
X20120612,E02,DS1,121.605,132,Erlotinib,3,DS1_X20120612_E02
X20120612,E02,DS1,122.61,132,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,123.615,129,Erlotinib,3,DS1_X20120612_E02
X20120612,E02,DS1,124.62,129,Erlotinib,3,DS1_X20120612_E02
X20120612,E02,DS1,125.625,126,Erlotinib,3,DS1_X20120612_E02
X20120612,E02,DS1,126.63,134,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,127.635,118,Erlotinib,4,DS1_X20120612_E02
X20120612,E02,DS1,128.64,119,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,129.645,120,Erlotinib,2,DS1_X20120612_E02
X20120612,E02,DS1,130.65,117,Erlotinib,4,DS1_X20120612_E02
X20120612,E02,DS1,131.655,123,Erlotinib,6,DS1_X20120612_E02
X20120612,E02,DS1,132.66,117,Erlotinib,4,DS1_X20120612_E02
X20120612,E02,DS1,133.665,123,Erlotinib,4,DS1_X20120612_E02
X20120612,E02,DS1,134.67,116,Erlotinib,3,DS1_X20120612_E02
X20120612,E02,DS1,135.675,112,Erlotinib,4,DS1_X20120612_E02
X20120612,E02,DS1,136.68,114,Erlotinib,4,DS1_X20120612_E02
X20120612,E02,DS1,137.685,116,Erlotinib,5,DS1_X20120612_E02
X20120612,E02,DS1,138.69,112,Erlotinib,6,DS1_X20120612_E02
X20120612,E02,DS1,139.695,105,Erlotinib,7,DS1_X20120612_E02
X20120612,E02,DS1,140.7,110,Erlotinib,6,DS1_X20120612_E02
X20120612,E02,DS1,141.705,110,Erlotinib,5,DS1_X20120612_E02
X20120612,E02,DS1,142.71,108,Erlotinib,5,DS1_X20120612_E02
X20120612,E02,DS1,143.715,112,Erlotinib,5,DS1_X20120612_E02
X20120612,E02,DS1,144.72,114,Erlotinib,6,DS1_X20120612_E02
X20120612,E02,DS1,145.725,108,Erlotinib,2,DS1_X20120612_E02
X20120612,E03,DS2,0,303,Erlotinib,110,DS2_X20120612_E03
X20120612,E03,DS2,1.005,325,Erlotinib,115,DS2_X20120612_E03
X20120612,E03,DS2,2.01,315,Erlotinib,117,DS2_X20120612_E03
X20120612,E03,DS2,3.015,368,Erlotinib,119,DS2_X20120612_E03
X20120612,E03,DS2,4.02,390,Erlotinib,152,DS2_X20120612_E03
X20120612,E03,DS2,5.024999999,401,Erlotinib,153,DS2_X20120612_E03
X20120612,E03,DS2,6.029999999,397,Erlotinib,132,DS2_X20120612_E03
X20120612,E03,DS2,7.034999999,409,Erlotinib,146,DS2_X20120612_E03
X20120612,E03,DS2,8.039999999,432,Erlotinib,143,DS2_X20120612_E03
X20120612,E03,DS2,9.044999999,417,Erlotinib,138,DS2_X20120612_E03
X20120612,E03,DS2,10.05,472,Erlotinib,140,DS2_X20120612_E03
X20120612,E03,DS2,11.055,490,Erlotinib,133,DS2_X20120612_E03
X20120612,E03,DS2,12.06,509,Erlotinib,105,DS2_X20120612_E03
X20120612,E03,DS2,13.065,523,Erlotinib,90,DS2_X20120612_E03
X20120612,E03,DS2,14.07,564,Erlotinib,110,DS2_X20120612_E03
X20120612,E03,DS2,15.075,589,Erlotinib,94,DS2_X20120612_E03
X20120612,E03,DS2,16.08,610,Erlotinib,88,DS2_X20120612_E03
X20120612,E03,DS2,17.085,622,Erlotinib,81,DS2_X20120612_E03
X20120612,E03,DS2,18.09,644,Erlotinib,77,DS2_X20120612_E03
X20120612,E03,DS2,19.095,659,Erlotinib,89,DS2_X20120612_E03
X20120612,E03,DS2,20.1,683,Erlotinib,92,DS2_X20120612_E03
X20120612,E03,DS2,21.105,691,Erlotinib,73,DS2_X20120612_E03
X20120612,E03,DS2,22.11,701,Erlotinib,75,DS2_X20120612_E03
X20120612,E03,DS2,23.115,713,Erlotinib,74,DS2_X20120612_E03
X20120612,E03,DS2,24.12,732,Erlotinib,82,DS2_X20120612_E03
X20120612,E03,DS2,25.125,709,Erlotinib,70,DS2_X20120612_E03
X20120612,E03,DS2,26.13,734,Erlotinib,72,DS2_X20120612_E03
X20120612,E03,DS2,27.135,755,Erlotinib,74,DS2_X20120612_E03
X20120612,E03,DS2,28.14,756,Erlotinib,71,DS2_X20120612_E03
X20120612,E03,DS2,29.145,773,Erlotinib,70,DS2_X20120612_E03
X20120612,E03,DS2,30.15,780,Erlotinib,74,DS2_X20120612_E03
X20120612,E03,DS2,31.155,777,Erlotinib,72,DS2_X20120612_E03
X20120612,E03,DS2,32.16,789,Erlotinib,60,DS2_X20120612_E03
X20120612,E03,DS2,33.165,770,Erlotinib,57,DS2_X20120612_E03
X20120612,E03,DS2,34.17,834,Erlotinib,53,DS2_X20120612_E03
X20120612,E03,DS2,35.175,855,Erlotinib,48,DS2_X20120612_E03
X20120612,E03,DS2,36.18,861,Erlotinib,44,DS2_X20120612_E03
X20120612,E03,DS2,37.185,875,Erlotinib,43,DS2_X20120612_E03
X20120612,E03,DS2,38.19,883,Erlotinib,46,DS2_X20120612_E03
X20120612,E03,DS2,39.195,884,Erlotinib,39,DS2_X20120612_E03
X20120612,E03,DS2,40.2,895,Erlotinib,40,DS2_X20120612_E03
X20120612,E03,DS2,41.205,909,Erlotinib,36,DS2_X20120612_E03
X20120612,E03,DS2,42.21,916,Erlotinib,30,DS2_X20120612_E03
X20120612,E03,DS2,43.215,929,Erlotinib,25,DS2_X20120612_E03
X20120612,E03,DS2,44.22,938,Erlotinib,24,DS2_X20120612_E03
X20120612,E03,DS2,45.22499999,938,Erlotinib,24,DS2_X20120612_E03
X20120612,E03,DS2,46.22999999,943,Erlotinib,20,DS2_X20120612_E03
X20120612,E03,DS2,47.23499999,955,Erlotinib,21,DS2_X20120612_E03
X20120612,E03,DS2,48.23999999,956,Erlotinib,21,DS2_X20120612_E03
X20120612,E03,DS2,49.24499999,957,Erlotinib,18,DS2_X20120612_E03
X20120612,E03,DS2,50.24999999,955,Erlotinib,22,DS2_X20120612_E03
X20120612,E03,DS2,51.25499999,960,Erlotinib,23,DS2_X20120612_E03
X20120612,E03,DS2,52.25999999,965,Erlotinib,23,DS2_X20120612_E03
X20120612,E03,DS2,53.26499999,965,Erlotinib,23,DS2_X20120612_E03
X20120612,E03,DS2,54.26999999,964,Erlotinib,21,DS2_X20120612_E03
X20120612,E03,DS2,55.27499999,934,Erlotinib,20,DS2_X20120612_E03
X20120612,E03,DS2,56.27999999,975,Erlotinib,20,DS2_X20120612_E03
X20120612,E03,DS2,57.28499999,974,Erlotinib,19,DS2_X20120612_E03
X20120612,E03,DS2,58.28999999,926,Erlotinib,16,DS2_X20120612_E03
X20120612,E03,DS2,59.29499999,968,Erlotinib,15,DS2_X20120612_E03
X20120612,E03,DS2,60.29999999,976,Erlotinib,15,DS2_X20120612_E03
X20120612,E03,DS2,61.30499999,985,Erlotinib,13,DS2_X20120612_E03
X20120612,E03,DS2,62.30999999,984,Erlotinib,8,DS2_X20120612_E03
X20120612,E03,DS2,63.31499999,986,Erlotinib,10,DS2_X20120612_E03
X20120612,E03,DS2,64.31999999,984,Erlotinib,11,DS2_X20120612_E03
X20120612,E03,DS2,65.32499999,988,Erlotinib,7,DS2_X20120612_E03
X20120612,E03,DS2,66.32999999,982,Erlotinib,10,DS2_X20120612_E03
X20120612,E03,DS2,67.33499999,990,Erlotinib,9,DS2_X20120612_E03
X20120612,E03,DS2,68.33999999,987,Erlotinib,11,DS2_X20120612_E03
X20120612,E03,DS2,69.34499999,978,Erlotinib,15,DS2_X20120612_E03
X20120612,E03,DS2,70.34999999,944,Erlotinib,15,DS2_X20120612_E03
X20120612,E03,DS2,71.35499999,935,Erlotinib,18,DS2_X20120612_E03
X20120612,E03,DS2,72.35999999,959,Erlotinib,19,DS2_X20120612_E03
X20120612,E03,DS2,73.36499999,951,Erlotinib,19,DS2_X20120612_E03
X20120612,E03,DS2,74.36999999,978,Erlotinib,24,DS2_X20120612_E03
X20120612,E03,DS2,75.37499999,976,Erlotinib,24,DS2_X20120612_E03
X20120612,E03,DS2,76.37999999,961,Erlotinib,21,DS2_X20120612_E03
X20120612,E03,DS2,77.38499999,995,Erlotinib,19,DS2_X20120612_E03
X20120612,E03,DS2,78.38999999,968,Erlotinib,23,DS2_X20120612_E03
X20120612,E03,DS2,79.39499999,995,Erlotinib,22,DS2_X20120612_E03
X20120612,E03,DS2,80.39999999,1001,Erlotinib,20,DS2_X20120612_E03
X20120612,E03,DS2,81.40499999,996,Erlotinib,21,DS2_X20120612_E03
X20120612,E03,DS2,82.40999999,996,Erlotinib,21,DS2_X20120612_E03
X20120612,E03,DS2,83.41499999,992,Erlotinib,23,DS2_X20120612_E03
X20120612,E03,DS2,84.41999999,994,Erlotinib,18,DS2_X20120612_E03
X20120612,E03,DS2,85.42499999,985,Erlotinib,15,DS2_X20120612_E03
X20120612,E03,DS2,86.42999999,972,Erlotinib,14,DS2_X20120612_E03
X20120612,E03,DS2,87.43499999,977,Erlotinib,15,DS2_X20120612_E03
X20120612,E03,DS2,88.43999999,955,Erlotinib,9,DS2_X20120612_E03
X20120612,E03,DS2,89.44499999,954,Erlotinib,8,DS2_X20120612_E03
X20120612,E03,DS2,90.44999999,941,Erlotinib,11,DS2_X20120612_E03
X20120612,E03,DS2,91.45499999,936,Erlotinib,10,DS2_X20120612_E03
X20120612,E03,DS2,92.45999999,955,Erlotinib,7,DS2_X20120612_E03
X20120612,E03,DS2,93.46499999,948,Erlotinib,6,DS2_X20120612_E03
X20120612,E03,DS2,94.46999999,913,Erlotinib,6,DS2_X20120612_E03
X20120612,E03,DS2,95.47499999,918,Erlotinib,4,DS2_X20120612_E03
X20120612,E03,DS2,96.47999999,894,Erlotinib,5,DS2_X20120612_E03
X20120612,E03,DS2,97.48499999,895,Erlotinib,6,DS2_X20120612_E03
X20120612,E03,DS2,98.48999999,895,Erlotinib,3,DS2_X20120612_E03
X20120612,E03,DS2,99.49499999,898,Erlotinib,2,DS2_X20120612_E03
X20120612,E03,DS2,100.5,864,Erlotinib,2,DS2_X20120612_E03
X20120612,E03,DS2,101.505,872,Erlotinib,3,DS2_X20120612_E03
X20120612,E03,DS2,102.51,845,Erlotinib,3,DS2_X20120612_E03
X20120612,E03,DS2,103.515,863,Erlotinib,2,DS2_X20120612_E03
X20120612,E03,DS2,104.52,857,Erlotinib,5,DS2_X20120612_E03
X20120612,E03,DS2,105.525,815,Erlotinib,3,DS2_X20120612_E03
X20120612,E03,DS2,106.53,822,Erlotinib,4,DS2_X20120612_E03
X20120612,E03,DS2,107.535,814,Erlotinib,4,DS2_X20120612_E03
X20120612,E03,DS2,108.54,770,Erlotinib,5,DS2_X20120612_E03
X20120612,E03,DS2,109.545,777,Erlotinib,5,DS2_X20120612_E03
X20120612,E03,DS2,110.55,731,Erlotinib,6,DS2_X20120612_E03
X20120612,E03,DS2,111.555,765,Erlotinib,6,DS2_X20120612_E03
X20120612,E03,DS2,112.56,766,Erlotinib,7,DS2_X20120612_E03
X20120612,E03,DS2,113.565,742,Erlotinib,6,DS2_X20120612_E03
X20120612,E03,DS2,114.57,743,Erlotinib,8,DS2_X20120612_E03
X20120612,E03,DS2,115.575,675,Erlotinib,6,DS2_X20120612_E03
X20120612,E03,DS2,116.58,679,Erlotinib,6,DS2_X20120612_E03
X20120612,E03,DS2,117.585,679,Erlotinib,5,DS2_X20120612_E03
X20120612,E03,DS2,118.59,688,Erlotinib,6,DS2_X20120612_E03
X20120612,E03,DS2,119.595,641,Erlotinib,5,DS2_X20120612_E03
X20120612,E03,DS2,120.6,641,Erlotinib,4,DS2_X20120612_E03
X20120612,E03,DS2,121.605,650,Erlotinib,6,DS2_X20120612_E03
X20120612,E03,DS2,122.61,621,Erlotinib,6,DS2_X20120612_E03
X20120612,E03,DS2,123.615,612,Erlotinib,3,DS2_X20120612_E03
X20120612,E03,DS2,124.62,598,Erlotinib,6,DS2_X20120612_E03
X20120612,E03,DS2,125.625,624,Erlotinib,3,DS2_X20120612_E03
X20120612,E03,DS2,126.63,605,Erlotinib,5,DS2_X20120612_E03
X20120612,E03,DS2,127.635,599,Erlotinib,6,DS2_X20120612_E03
X20120612,E03,DS2,128.64,611,Erlotinib,7,DS2_X20120612_E03
X20120612,E03,DS2,129.645,596,Erlotinib,8,DS2_X20120612_E03
X20120612,E03,DS2,130.65,568,Erlotinib,5,DS2_X20120612_E03
X20120612,E03,DS2,131.655,558,Erlotinib,4,DS2_X20120612_E03
X20120612,E03,DS2,132.66,557,Erlotinib,4,DS2_X20120612_E03
X20120612,E03,DS2,133.665,566,Erlotinib,4,DS2_X20120612_E03
X20120612,E03,DS2,134.67,559,Erlotinib,6,DS2_X20120612_E03
X20120612,E03,DS2,135.675,530,Erlotinib,8,DS2_X20120612_E03
X20120612,E03,DS2,136.68,529,Erlotinib,11,DS2_X20120612_E03
X20120612,E03,DS2,137.685,544,Erlotinib,13,DS2_X20120612_E03
X20120612,E03,DS2,138.69,551,Erlotinib,9,DS2_X20120612_E03
X20120612,E03,DS2,139.695,496,Erlotinib,15,DS2_X20120612_E03
X20120612,E03,DS2,140.7,498,Erlotinib,10,DS2_X20120612_E03
X20120612,E03,DS2,141.705,523,Erlotinib,9,DS2_X20120612_E03
X20120612,E03,DS2,142.71,504,Erlotinib,10,DS2_X20120612_E03
X20120612,E03,DS2,143.715,485,Erlotinib,7,DS2_X20120612_E03
X20120612,E03,DS2,144.72,515,Erlotinib,4,DS2_X20120612_E03
X20120612,E03,DS2,145.725,453,Erlotinib,5,DS2_X20120612_E03
X20120612,E04,DS3,0,90,Erlotinib,28,DS3_X20120612_E04
X20120612,E04,DS3,1.005,98,Erlotinib,26,DS3_X20120612_E04
X20120612,E04,DS3,2.01,101,Erlotinib,32,DS3_X20120612_E04
X20120612,E04,DS3,3.015,99,Erlotinib,24,DS3_X20120612_E04
X20120612,E04,DS3,4.02,109,Erlotinib,25,DS3_X20120612_E04
X20120612,E04,DS3,5.024999999,119,Erlotinib,31,DS3_X20120612_E04
X20120612,E04,DS3,6.029999999,121,Erlotinib,41,DS3_X20120612_E04
X20120612,E04,DS3,7.034999999,124,Erlotinib,29,DS3_X20120612_E04
X20120612,E04,DS3,8.039999999,130,Erlotinib,31,DS3_X20120612_E04
X20120612,E04,DS3,9.044999999,127,Erlotinib,29,DS3_X20120612_E04
X20120612,E04,DS3,10.05,128,Erlotinib,32,DS3_X20120612_E04
X20120612,E04,DS3,11.055,130,Erlotinib,28,DS3_X20120612_E04
X20120612,E04,DS3,12.06,143,Erlotinib,28,DS3_X20120612_E04
X20120612,E04,DS3,13.065,129,Erlotinib,25,DS3_X20120612_E04
X20120612,E04,DS3,14.07,144,Erlotinib,23,DS3_X20120612_E04
X20120612,E04,DS3,15.075,158,Erlotinib,43,DS3_X20120612_E04
X20120612,E04,DS3,16.08,163,Erlotinib,36,DS3_X20120612_E04
X20120612,E04,DS3,17.085,167,Erlotinib,30,DS3_X20120612_E04
X20120612,E04,DS3,18.09,178,Erlotinib,45,DS3_X20120612_E04
X20120612,E04,DS3,19.095,181,Erlotinib,39,DS3_X20120612_E04
X20120612,E04,DS3,20.1,193,Erlotinib,35,DS3_X20120612_E04
X20120612,E04,DS3,21.105,191,Erlotinib,37,DS3_X20120612_E04
X20120612,E04,DS3,22.11,199,Erlotinib,41,DS3_X20120612_E04
X20120612,E04,DS3,23.115,206,Erlotinib,38,DS3_X20120612_E04
X20120612,E04,DS3,24.12,209,Erlotinib,37,DS3_X20120612_E04
X20120612,E04,DS3,25.125,222,Erlotinib,36,DS3_X20120612_E04
X20120612,E04,DS3,26.13,227,Erlotinib,41,DS3_X20120612_E04
X20120612,E04,DS3,27.135,229,Erlotinib,40,DS3_X20120612_E04
X20120612,E04,DS3,28.14,224,Erlotinib,32,DS3_X20120612_E04
X20120612,E04,DS3,29.145,241,Erlotinib,33,DS3_X20120612_E04
X20120612,E04,DS3,30.15,239,Erlotinib,33,DS3_X20120612_E04
X20120612,E04,DS3,31.155,238,Erlotinib,29,DS3_X20120612_E04
X20120612,E04,DS3,32.16,247,Erlotinib,33,DS3_X20120612_E04
X20120612,E04,DS3,33.165,238,Erlotinib,27,DS3_X20120612_E04
X20120612,E04,DS3,34.17,262,Erlotinib,36,DS3_X20120612_E04
X20120612,E04,DS3,35.175,261,Erlotinib,27,DS3_X20120612_E04
X20120612,E04,DS3,36.18,271,Erlotinib,27,DS3_X20120612_E04
X20120612,E04,DS3,37.185,270,Erlotinib,30,DS3_X20120612_E04
X20120612,E04,DS3,38.19,275,Erlotinib,25,DS3_X20120612_E04
X20120612,E04,DS3,39.195,285,Erlotinib,28,DS3_X20120612_E04
X20120612,E04,DS3,40.2,284,Erlotinib,26,DS3_X20120612_E04
X20120612,E04,DS3,41.205,297,Erlotinib,21,DS3_X20120612_E04
X20120612,E04,DS3,42.21,295,Erlotinib,23,DS3_X20120612_E04
X20120612,E04,DS3,43.215,307,Erlotinib,25,DS3_X20120612_E04
X20120612,E04,DS3,44.22,305,Erlotinib,18,DS3_X20120612_E04
X20120612,E04,DS3,45.22499999,311,Erlotinib,20,DS3_X20120612_E04
X20120612,E04,DS3,46.22999999,308,Erlotinib,17,DS3_X20120612_E04
X20120612,E04,DS3,47.23499999,310,Erlotinib,16,DS3_X20120612_E04
X20120612,E04,DS3,48.23999999,316,Erlotinib,17,DS3_X20120612_E04
X20120612,E04,DS3,49.24499999,321,Erlotinib,16,DS3_X20120612_E04
X20120612,E04,DS3,50.24999999,332,Erlotinib,10,DS3_X20120612_E04
X20120612,E04,DS3,51.25499999,330,Erlotinib,13,DS3_X20120612_E04
X20120612,E04,DS3,52.25999999,325,Erlotinib,13,DS3_X20120612_E04
X20120612,E04,DS3,53.26499999,327,Erlotinib,17,DS3_X20120612_E04
X20120612,E04,DS3,54.26999999,329,Erlotinib,10,DS3_X20120612_E04
X20120612,E04,DS3,55.27499999,328,Erlotinib,15,DS3_X20120612_E04
X20120612,E04,DS3,56.27999999,330,Erlotinib,13,DS3_X20120612_E04
X20120612,E04,DS3,57.28499999,338,Erlotinib,12,DS3_X20120612_E04
X20120612,E04,DS3,58.28999999,327,Erlotinib,9,DS3_X20120612_E04
